,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
165,karnataka,bagalkote,2002,Kharif     ,Rice,112.0,230.0
166,karnataka,bagalkote,2002,Kharif     ,Sesamum,1225.0,796.0
167,karnataka,bagalkote,2002,Kharif     ,Small millets,271.0,67.0
168,karnataka,bagalkote,2002,Kharif     ,Soyabean,1349.0,728.0
169,karnataka,bagalkote,2002,Kharif     ,Sunflower,22376.0,11438.0
170,karnataka,bagalkote,2002,Rabi       ,Gram,26669.0,17905.0
171,karnataka,bagalkote,2002,Rabi       ,Groundnut,10177.0,12994.0
172,karnataka,bagalkote,2002,Rabi       ,Horse-gram,4254.0,1689.0
173,karnataka,bagalkote,2002,Rabi       ,Jowar,157259.0,98880.0
174,karnataka,bagalkote,2002,Rabi       ,Linseed,4997.0,2207.0
175,karnataka,bagalkote,2002,Rabi       ,Maize,9197.0,31585.0
176,karnataka,bagalkote,2002,Rabi       ,Other  Rabi pulses,176.0,21.0
177,karnataka,bagalkote,2002,Rabi       ,Rapeseed &Mustard,80.0,12.0
178,karnataka,bagalkote,2002,Rabi       ,Safflower,3916.0,2703.0
179,karnataka,bagalkote,2002,Rabi       ,Sunflower,55498.0,31053.0
180,karnataka,bagalkote,2002,Rabi       ,Wheat,23327.0,32386.0
181,karnataka,bagalkote,2002,Summer     ,Jowar,2.0,2.0
182,karnataka,bagalkote,2002,Summer     ,Maize,1233.0,4217.0
183,karnataka,bagalkote,2002,Summer     ,Rice,15.0,16.0
184,karnataka,bagalkote,2002,Summer     ,Sunflower,3207.0,2809.0
185,karnataka,bagalkote,2002,Whole Year ,Arcanut (Processed),6.0,8.0
186,karnataka,bagalkote,2002,Whole Year ,Atcanut (Raw),6.0,40.0
187,karnataka,bagalkote,2002,Whole Year ,Banana,466.0,7118.0
188,karnataka,bagalkote,2002,Whole Year ,Brinjal,215.0,1010.0
189,karnataka,bagalkote,2002,Whole Year ,Citrus Fruit,350.0,3155.0
190,karnataka,bagalkote,2002,Whole Year ,Coconut ,877.0,4190.0
191,karnataka,bagalkote,2002,Whole Year ,Coriander,30.0,3.0
192,karnataka,bagalkote,2002,Whole Year ,Dry chillies,543.0,292.0
193,karnataka,bagalkote,2002,Whole Year ,Garlic,18.0,15.0
194,karnataka,bagalkote,2002,Whole Year ,Grapes,608.0,16383.0
195,karnataka,bagalkote,2002,Whole Year ,Mango,287.0,920.0
196,karnataka,bagalkote,2002,Whole Year ,Onion,3329.0,30605.0
