State,District,Season,Crop,Crop_Id
bihar,jamui,Rabi,Linseed,18
bihar,jamui,Rabi,Gram,2
bihar,jamui,Rabi,Maize,4
bihar,jamui,Summer,Maize,4
bihar,katihar,Kharif,Jute,21
bihar,katihar,Rabi,Rapeseed &Mustard,17
bihar,katihar,Rabi,Linseed,18
bihar,katihar,Rabi,Gram,2
bihar,katihar,Rabi,Maize,4
bihar,katihar,Summer,Maize,4
bihar,katihar,Summer,Rice,5
bihar,khagaria,Kharif,Arhar/Tur,23
bihar,khagaria,Rabi,Wheat,13
bihar,khagaria,Rabi,Rapeseed &Mustard,17
bihar,khagaria,Rabi,Linseed,18
bihar,khagaria,Rabi,Gram,2
bihar,khagaria,Rabi,Maize,4
bihar,khagaria,Summer,Rice,5
bihar,kishanganj,Kharif,Jute,21
bihar,kishanganj,Kharif,Mesta,22
bihar,kishanganj,Kharif,Arhar/Tur,23
bihar,kishanganj,Rabi,Rapeseed &Mustard,17
bihar,kishanganj,Rabi,Linseed,18
bihar,kishanganj,Rabi,Gram,2
bihar,kishanganj,Summer,Rice,5
bihar,madhepura,Kharif,Jute,21
bihar,madhepura,Kharif,Mesta,22
bihar,madhepura,Kharif,Arhar/Tur,23
bihar,madhepura,Rabi,Rapeseed &Mustard,17
bihar,madhepura,Rabi,Linseed,18
bihar,madhepura,Rabi,Maize,4
bihar,madhepura,Summer,Maize,4
bihar,madhubani,Kharif,Arhar/Tur,23
bihar,madhubani,Rabi,Wheat,13
bihar,madhubani,Rabi,Rapeseed &Mustard,17
bihar,madhubani,Rabi,Linseed,18
bihar,madhubani,Rabi,Gram,2
bihar,muzaffarpur,Kharif,Mesta,22
bihar,muzaffarpur,Kharif,Arhar/Tur,23
bihar,muzaffarpur,Rabi,Wheat,13
bihar,muzaffarpur,Rabi,Rapeseed &Mustard,17
bihar,muzaffarpur,Rabi,Maize,4
bihar,muzaffarpur,Summer,Maize,4
bihar,nalanda,Kharif,Arhar/Tur,23
bihar,nalanda,Rabi,Rapeseed &Mustard,17
bihar,nalanda,Rabi,Gram,2
bihar,nalanda,Rabi,Maize,4
bihar,patna,Kharif,Arhar/Tur,23
bihar,patna,Rabi,Wheat,13
bihar,patna,Rabi,Rapeseed &Mustard,17
bihar,patna,Rabi,Linseed,18
bihar,patna,Rabi,Gram,2
bihar,patna,Rabi,Maize,4
bihar,patna,Summer,Maize,4
bihar,rohtas,Kharif,Arhar/Tur,23
bihar,rohtas,Rabi,Wheat,13
bihar,rohtas,Rabi,Rapeseed &Mustard,17
bihar,rohtas,Rabi,Linseed,18
bihar,rohtas,Rabi,Gram,2
bihar,saharsa,Kharif,Jute,21
bihar,saharsa,Rabi,Rapeseed &Mustard,17
bihar,saharsa,Rabi,Linseed,18
bihar,saharsa,Rabi,Maize,4
bihar,saharsa,Summer,Maize,4
bihar,samastipur,Kharif,Arhar/Tur,23
bihar,samastipur,Rabi,Wheat,13
bihar,samastipur,Rabi,Rapeseed &Mustard,17
bihar,samastipur,Rabi,Gram,2
bihar,samastipur,Rabi,Maize,4
bihar,samastipur,Summer,Maize,4
bihar,saran,Rabi,Wheat,13
bihar,saran,Rabi,Rapeseed &Mustard,17
bihar,saran,Rabi,Gram,2
bihar,saran,Rabi,Maize,4
bihar,sitamarhi,Rabi,Wheat,13
bihar,sitamarhi,Rabi,Rapeseed &Mustard,17
bihar,sitamarhi,Rabi,Linseed,18
bihar,sitamarhi,Rabi,Maize,4
bihar,siwan,Kharif,Arhar/Tur,23
bihar,siwan,Kharif,Bajra,9
bihar,siwan,Rabi,Rapeseed &Mustard,17
bihar,siwan,Rabi,Linseed,18
bihar,siwan,Rabi,Gram,2
bihar,siwan,Rabi,Maize,4
bihar,supaul,Kharif,Mesta,22
bihar,supaul,Rabi,Wheat,13
bihar,supaul,Rabi,Rapeseed &Mustard,17
bihar,supaul,Rabi,Linseed,18
bihar,supaul,Rabi,Maize,4
bihar,supaul,Summer,Rice,5
bihar,vaishali,Kharif,Arhar/Tur,23
bihar,vaishali,Rabi,Wheat,13
