State,District,Season,Crop
andhra pradesh,guntur,Kharif,Sesamum
andhra pradesh,guntur,Kharif,Rice
andhra pradesh,krishna,Rabi,Moong(Green Gram)
andhra pradesh,krishna,Kharif,Moong(Green Gram)
andhra pradesh,krishna,Kharif,Maize
andhra pradesh,krishna,Kharif,Urad
andhra pradesh,krishna,Kharif,Groundnut
andhra pradesh,krishna,Rabi,Groundnut
andhra pradesh,krishna,Kharif,Rice
andhra pradesh,krishna,Kharif,Cotton(lint)
andhra pradesh,krishna,Rabi,Maize
andhra pradesh,krishna,Rabi,Rice
andhra pradesh,krishna,Rabi,Urad
andhra pradesh,kurnool,Kharif,Rice
andhra pradesh,kurnool,Kharif,Jowar
andhra pradesh,kurnool,Rabi,Groundnut
andhra pradesh,kurnool,Rabi,Gram
andhra pradesh,kurnool,Kharif,Bajra
andhra pradesh,kurnool,Rabi,Maize
andhra pradesh,kurnool,Rabi,Rice
andhra pradesh,kurnool,Kharif,Urad
andhra pradesh,kurnool,Rabi,Jowar
andhra pradesh,kurnool,Rabi,Urad
andhra pradesh,kurnool,Kharif,Moong(Green Gram)
andhra pradesh,kurnool,Kharif,Maize
andhra pradesh,kurnool,Rabi,Horse-gram
andhra pradesh,kurnool,Kharif,Cotton(lint)
andhra pradesh,kurnool,Kharif,Groundnut
andhra pradesh,prakasam,Rabi,Jowar
andhra pradesh,prakasam,Kharif,Rice
andhra pradesh,prakasam,Kharif,Sesamum
andhra pradesh,prakasam,Kharif,Urad
andhra pradesh,prakasam,Kharif,Maize
andhra pradesh,prakasam,Rabi,Gram
andhra pradesh,prakasam,Rabi,Groundnut
andhra pradesh,prakasam,Kharif,Jowar
andhra pradesh,prakasam,Kharif,Groundnut
andhra pradesh,prakasam,Kharif,Bajra
andhra pradesh,prakasam,Rabi,Maize
andhra pradesh,prakasam,Rabi,Moong(Green Gram)
andhra pradesh,prakasam,Rabi,Ragi
andhra pradesh,prakasam,Kharif,Cotton(lint)
andhra pradesh,prakasam,Kharif,Castor seed
andhra pradesh,prakasam,Rabi,Rice
andhra pradesh,prakasam,Rabi,Sesamum
andhra pradesh,prakasam,Rabi,Urad
andhra pradesh,prakasam,Kharif,Moong(Green Gram)
andhra pradesh,srikakulam,Rabi,Groundnut
andhra pradesh,srikakulam,Kharif,Moong(Green Gram)
andhra pradesh,srikakulam,Kharif,Rice
andhra pradesh,srikakulam,Kharif,Sesamum
andhra pradesh,srikakulam,Kharif,Maize
andhra pradesh,srikakulam,Kharif,Bajra
andhra pradesh,srikakulam,Rabi,Horse-gram
andhra pradesh,srikakulam,Kharif,Groundnut
andhra pradesh,srikakulam,Rabi,Moong(Green Gram)
andhra pradesh,srikakulam,Rabi,Ragi
andhra pradesh,srikakulam,Kharif,Cotton(lint)
andhra pradesh,srikakulam,Rabi,Rice
andhra pradesh,srikakulam,Rabi,Sesamum
andhra pradesh,srikakulam,Rabi,Urad
andhra pradesh,srikakulam,Kharif,Ragi
andhra pradesh,vishakhapatnam,Kharif,Groundnut
andhra pradesh,vishakhapatnam,Rabi,Horse-gram
andhra pradesh,vishakhapatnam,Kharif,Moong(Green Gram)
andhra pradesh,vishakhapatnam,Kharif,Rice
andhra pradesh,vishakhapatnam,Kharif,Sesamum
andhra pradesh,vishakhapatnam,Kharif,Urad
andhra pradesh,vishakhapatnam,Kharif,Maize
andhra pradesh,vishakhapatnam,Kharif,Jowar
andhra pradesh,vishakhapatnam,Rabi,Groundnut
andhra pradesh,vishakhapatnam,Kharif,Ragi
andhra pradesh,vishakhapatnam,Kharif,Bajra
andhra pradesh,vishakhapatnam,Rabi,Maize
andhra pradesh,vishakhapatnam,Rabi,Moong(Green Gram)
andhra pradesh,vishakhapatnam,Rabi,Ragi
andhra pradesh,vishakhapatnam,Rabi,Rice
andhra pradesh,vishakhapatnam,Rabi,Sesamum
andhra pradesh,vishakhapatnam,Rabi,Urad
andhra pradesh,vizianagaram,Rabi,Maize
andhra pradesh,vizianagaram,Kharif,Maize
andhra pradesh,vizianagaram,Rabi,Groundnut
andhra pradesh,vizianagaram,Rabi,Horse-gram
andhra pradesh,vizianagaram,Kharif,Sesamum
andhra pradesh,vizianagaram,Rabi,Moong(Green Gram)
andhra pradesh,vizianagaram,Kharif,Rice
andhra pradesh,vizianagaram,Kharif,Ragi
andhra pradesh,vizianagaram,Rabi,Ragi
andhra pradesh,vizianagaram,Rabi,Rice
andhra pradesh,vizianagaram,Rabi,Sesamum
andhra pradesh,vizianagaram,Kharif,Urad
andhra pradesh,vizianagaram,Rabi,Urad
andhra pradesh,vizianagaram,Kharif,Moong(Green Gram)
andhra pradesh,vizianagaram,Kharif,Jowar
andhra pradesh,vizianagaram,Kharif,Bajra
andhra pradesh,vizianagaram,Kharif,Groundnut
andhra pradesh,vizianagaram,Kharif,Cotton(lint)
andhra pradesh,west godavari,Rabi,Moong(Green Gram)
andhra pradesh,west godavari,Rabi,Urad
andhra pradesh,west godavari,Rabi,Rice
andhra pradesh,west godavari,Rabi,Maize
andhra pradesh,west godavari,Kharif,Cotton(lint)
andhra pradesh,west godavari,Rabi,Groundnut
andhra pradesh,west godavari,Kharif,Groundnut
andhra pradesh,west godavari,Kharif,Rice
andhra pradesh,west godavari,Kharif,Maize
arunachal pradesh,changlang,Kharif,Maize
arunachal pradesh,changlang,Rabi,Wheat
arunachal pradesh,changlang,Kharif,Small millets
arunachal pradesh,changlang,Whole Year,Oilseeds total
arunachal pradesh,changlang,Kharif,Rice
arunachal pradesh,dibang valley,Kharif,Maize
arunachal pradesh,dibang valley,Kharif,Rice
arunachal pradesh,dibang valley,Whole Year,Oilseeds total
arunachal pradesh,east kameng,Kharif,Maize
arunachal pradesh,east kameng,Kharif,Rice
arunachal pradesh,east kameng,Kharif,Small millets
arunachal pradesh,east kameng,Rabi,Wheat
arunachal pradesh,east kameng,Whole Year,Oilseeds total
arunachal pradesh,east siang,Kharif,Maize
arunachal pradesh,east siang,Kharif,Small millets
arunachal pradesh,east siang,Whole Year,Oilseeds total
arunachal pradesh,east siang,Kharif,Rice
arunachal pradesh,lohit,Kharif,Maize
arunachal pradesh,lohit,Kharif,Rice
arunachal pradesh,lohit,Kharif,Small millets
arunachal pradesh,lohit,Whole Year,Oilseeds total
arunachal pradesh,lohit,Rabi,Wheat
arunachal pradesh,lower subansiri,Kharif,Maize
arunachal pradesh,lower subansiri,Kharif,Small millets
arunachal pradesh,lower subansiri,Whole Year,Oilseeds total
arunachal pradesh,lower subansiri,Kharif,Rice
arunachal pradesh,tawang,Kharif,Maize
arunachal pradesh,tawang,Kharif,Rice
arunachal pradesh,tawang,Kharif,Small millets
arunachal pradesh,tawang,Rabi,Wheat
arunachal pradesh,tawang,Whole Year,Oilseeds total
arunachal pradesh,tirap,Kharif,Maize
arunachal pradesh,tirap,Kharif,Rice
arunachal pradesh,tirap,Kharif,Small millets
arunachal pradesh,tirap,Whole Year,Oilseeds total
arunachal pradesh,upper subansiri,Kharif,Maize
arunachal pradesh,upper subansiri,Kharif,Small millets
arunachal pradesh,upper subansiri,Whole Year,Oilseeds total
arunachal pradesh,upper subansiri,Kharif,Rice
arunachal pradesh,west kameng,Kharif,Maize
arunachal pradesh,west kameng,Kharif,Rice
arunachal pradesh,west kameng,Kharif,Small millets
arunachal pradesh,west kameng,Rabi,Wheat
arunachal pradesh,west kameng,Whole Year,Oilseeds total
arunachal pradesh,west siang,Kharif,Maize
arunachal pradesh,west siang,Kharif,Small millets
arunachal pradesh,west siang,Whole Year,Oilseeds total
arunachal pradesh,west siang,Kharif,Rice
assam,barpeta,Winter,Rice
assam,barpeta,Whole Year,Turmeric
assam,barpeta,Rabi,Wheat
assam,barpeta,Rabi,Rapeseed &Mustard
assam,barpeta,Autumn,Rice
assam,barpeta,Rabi,Linseed
assam,barpeta,Rabi,Gram
assam,barpeta,Whole Year,Onion
assam,barpeta,Summer,Rice
assam,barpeta,Kharif,Small millets
assam,barpeta,Whole Year,Potato
assam,barpeta,Kharif,Jute
assam,barpeta,Kharif,Mesta
assam,barpeta,Kharif,Arhar/Tur
assam,barpeta,Kharif,Castor seed
assam,barpeta,Kharif,Cotton(lint)
assam,cachar,Winter,Rice
assam,cachar,Kharif,Small millets
assam,cachar,Rabi,Wheat
assam,cachar,Rabi,Rapeseed &Mustard
assam,cachar,Autumn,Rice
assam,cachar,Rabi,Linseed
assam,cachar,Rabi,Gram
assam,cachar,Summer,Rice
assam,cachar,Whole Year,Potato
assam,cachar,Whole Year,Onion
assam,cachar,Kharif,Arhar/Tur
assam,cachar,Kharif,Cotton(lint)
assam,cachar,Kharif,Jute
assam,cachar,Whole Year,Turmeric
assam,cachar,Kharif,Mesta
assam,darrang,Winter,Rice
assam,darrang,Whole Year,Turmeric
assam,darrang,Rabi,Wheat
assam,darrang,Rabi,Rapeseed &Mustard
assam,darrang,Autumn,Rice
assam,darrang,Rabi,Linseed
assam,darrang,Rabi,Gram
assam,darrang,Whole Year,Onion
assam,darrang,Whole Year,Potato
assam,darrang,Kharif,Jute
assam,darrang,Kharif,Mesta
assam,darrang,Kharif,Arhar/Tur
assam,darrang,Summer,Rice
assam,dhemaji,Winter,Rice
assam,dhemaji,Whole Year,Turmeric
assam,dhemaji,Rabi,Wheat
assam,dhemaji,Rabi,Rapeseed &Mustard
assam,dhemaji,Autumn,Rice
assam,dhemaji,Rabi,Linseed
assam,dhemaji,Rabi,Gram
assam,dhemaji,Whole Year,Onion
assam,dhemaji,Summer,Rice
assam,dhemaji,Kharif,Small millets
assam,dhemaji,Whole Year,Potato
assam,dhemaji,Kharif,Jute
assam,dhemaji,Kharif,Mesta
assam,dhemaji,Kharif,Arhar/Tur
assam,dhemaji,Kharif,Cotton(lint)
assam,dhubri,Rabi,Rapeseed &Mustard
assam,dhubri,Kharif,Small millets
assam,dhubri,Whole Year,Turmeric
assam,dhubri,Whole Year,Potato
assam,dhubri,Whole Year,Onion
assam,dhubri,Summer,Rice
assam,dhubri,Rabi,Wheat
assam,dhubri,Autumn,Rice
assam,dhubri,Rabi,Linseed
assam,dhubri,Rabi,Gram
assam,dhubri,Winter,Rice
assam,dhubri,Kharif,Jute
assam,dhubri,Kharif,Arhar/Tur
assam,dhubri,Kharif,Mesta
assam,dibrugarh,Winter,Rice
assam,dibrugarh,Whole Year,Turmeric
assam,dibrugarh,Rabi,Wheat
assam,dibrugarh,Rabi,Rapeseed &Mustard
assam,dibrugarh,Autumn,Rice
assam,dibrugarh,Summer,Rice
assam,dibrugarh,Whole Year,Potato
assam,dibrugarh,Whole Year,Onion
assam,dibrugarh,Kharif,Jute
assam,dibrugarh,Kharif,Arhar/Tur
assam,golaghat,Winter,Rice
assam,golaghat,Whole Year,Turmeric
assam,golaghat,Rabi,Wheat
assam,golaghat,Rabi,Rapeseed &Mustard
assam,golaghat,Autumn,Rice
assam,golaghat,Rabi,Gram
assam,golaghat,Whole Year,Onion
assam,golaghat,Summer,Rice
assam,golaghat,Kharif,Small millets
assam,golaghat,Whole Year,Potato
assam,golaghat,Kharif,Jute
assam,golaghat,Kharif,Arhar/Tur
assam,golaghat,Kharif,Cotton(lint)
assam,golapara,Winter,Rice
assam,golapara,Whole Year,Turmeric
assam,golapara,Rabi,Wheat
assam,golapara,Rabi,Rapeseed &Mustard
assam,golapara,Autumn,Rice
assam,golapara,Rabi,Linseed
assam,golapara,Rabi,Gram
assam,golapara,Whole Year,Onion
assam,golapara,Summer,Rice
assam,golapara,Kharif,Small millets
assam,golapara,Whole Year,Potato
assam,golapara,Kharif,Jute
assam,golapara,Kharif,Arhar/Tur
assam,golapara,Kharif,Cotton(lint)
assam,hailakandi,Winter,Rice
assam,hailakandi,Kharif,Arhar/Tur
assam,hailakandi,Whole Year,Turmeric
assam,hailakandi,Kharif,Cotton(lint)
assam,hailakandi,Kharif,Jute
assam,hailakandi,Autumn,Rice
assam,hailakandi,Rabi,Rapeseed &Mustard
assam,hailakandi,Whole Year,Potato
assam,hailakandi,Whole Year,Onion
assam,hailakandi,Rabi,Gram
assam,jorhat,Winter,Rice
assam,jorhat,Whole Year,Turmeric
assam,jorhat,Rabi,Rapeseed &Mustard
assam,jorhat,Rabi,Wheat
assam,jorhat,Summer,Rice
assam,jorhat,Whole Year,Onion
assam,jorhat,Whole Year,Potato
assam,jorhat,Autumn,Rice
assam,jorhat,Kharif,Jute
assam,jorhat,Kharif,Cotton(lint)
assam,jorhat,Kharif,Arhar/Tur
assam,kamrup,Winter,Rice
assam,kamrup,Whole Year,Turmeric
assam,kamrup,Rabi,Wheat
assam,kamrup,Rabi,Rapeseed &Mustard
assam,kamrup,Autumn,Rice
assam,kamrup,Rabi,Linseed
assam,kamrup,Rabi,Gram
assam,kamrup,Whole Year,Onion
assam,kamrup,Summer,Rice
assam,kamrup,Whole Year,Potato
assam,kamrup,Kharif,Cotton(lint)
assam,kamrup,Kharif,Arhar/Tur
assam,kamrup,Kharif,Jute
assam,kamrup,Kharif,Mesta
assam,karbi anglong,Winter,Rice
assam,karbi anglong,Whole Year,Turmeric
assam,karbi anglong,Rabi,Linseed
assam,karbi anglong,Rabi,Gram
assam,karbi anglong,Rabi,Wheat
assam,karbi anglong,Summer,Rice
assam,karbi anglong,Whole Year,Onion
assam,karbi anglong,Whole Year,Potato
assam,karbi anglong,Autumn,Rice
assam,karbi anglong,Kharif,Small millets
assam,karbi anglong,Kharif,Mesta
assam,karbi anglong,Kharif,Jute
assam,karbi anglong,Kharif,Cotton(lint)
assam,karbi anglong,Kharif,Castor seed
assam,karbi anglong,Kharif,Arhar/Tur
assam,karbi anglong,Rabi,Rapeseed &Mustard
assam,karimganj,Winter,Rice
assam,karimganj,Whole Year,Potato
assam,karimganj,Autumn,Rice
assam,karimganj,Rabi,Rapeseed &Mustard
assam,karimganj,Summer,Rice
assam,karimganj,Whole Year,Onion
assam,karimganj,Kharif,Jute
assam,karimganj,Kharif,Cotton(lint)
assam,karimganj,Whole Year,Turmeric
assam,karimganj,Kharif,Arhar/Tur
assam,karimganj,Rabi,Linseed
assam,kokrajhar,Winter,Rice
assam,kokrajhar,Whole Year,Turmeric
assam,kokrajhar,Rabi,Wheat
assam,kokrajhar,Rabi,Rapeseed &Mustard
assam,kokrajhar,Autumn,Rice
assam,kokrajhar,Rabi,Linseed
assam,kokrajhar,Rabi,Gram
assam,kokrajhar,Whole Year,Onion
assam,kokrajhar,Summer,Rice
assam,kokrajhar,Kharif,Small millets
assam,kokrajhar,Whole Year,Potato
assam,kokrajhar,Kharif,Jute
assam,kokrajhar,Kharif,Mesta
assam,kokrajhar,Kharif,Arhar/Tur
assam,kokrajhar,Kharif,Cotton(lint)
assam,lakhimpur,Winter,Rice
assam,lakhimpur,Whole Year,Turmeric
assam,lakhimpur,Rabi,Linseed
assam,lakhimpur,Rabi,Gram
assam,lakhimpur,Rabi,Wheat
assam,lakhimpur,Summer,Rice
assam,lakhimpur,Whole Year,Onion
assam,lakhimpur,Whole Year,Potato
assam,lakhimpur,Autumn,Rice
assam,lakhimpur,Kharif,Small millets
assam,lakhimpur,Kharif,Mesta
assam,lakhimpur,Kharif,Jute
assam,lakhimpur,Kharif,Cotton(lint)
assam,lakhimpur,Kharif,Castor seed
assam,lakhimpur,Kharif,Arhar/Tur
assam,lakhimpur,Rabi,Rapeseed &Mustard
assam,nagaon,Winter,Rice
assam,nagaon,Whole Year,Turmeric
assam,nagaon,Rabi,Wheat
assam,nagaon,Rabi,Rapeseed &Mustard
assam,nagaon,Autumn,Rice
assam,nagaon,Rabi,Linseed
assam,nagaon,Rabi,Gram
assam,nagaon,Whole Year,Onion
assam,nagaon,Summer,Rice
assam,nagaon,Kharif,Small millets
assam,nagaon,Whole Year,Potato
assam,nagaon,Kharif,Jute
assam,nagaon,Kharif,Mesta
assam,nagaon,Kharif,Arhar/Tur
assam,nagaon,Kharif,Cotton(lint)
assam,nalbari,Winter,Rice
assam,nalbari,Whole Year,Turmeric
assam,nalbari,Rabi,Wheat
assam,nalbari,Rabi,Rapeseed &Mustard
assam,nalbari,Autumn,Rice
assam,nalbari,Rabi,Linseed
assam,nalbari,Rabi,Gram
assam,nalbari,Whole Year,Onion
assam,nalbari,Summer,Rice
assam,nalbari,Kharif,Small millets
assam,nalbari,Whole Year,Potato
assam,nalbari,Kharif,Jute
assam,nalbari,Kharif,Mesta
assam,nalbari,Kharif,Arhar/Tur
assam,nalbari,Kharif,Cotton(lint)
assam,sibsagar,Winter,Rice
assam,sibsagar,Whole Year,Turmeric
assam,sibsagar,Rabi,Wheat
assam,sibsagar,Rabi,Rapeseed &Mustard
assam,sibsagar,Autumn,Rice
assam,sibsagar,Rabi,Gram
assam,sibsagar,Summer,Rice
assam,sibsagar,Whole Year,Potato
assam,sibsagar,Whole Year,Onion
assam,sibsagar,Kharif,Jute
assam,sibsagar,Kharif,Arhar/Tur
assam,sibsagar,Kharif,Cotton(lint)
assam,sibsagar,Kharif,Castor seed
assam,sonitpur,Winter,Rice
assam,sonitpur,Whole Year,Turmeric
assam,sonitpur,Rabi,Wheat
assam,sonitpur,Rabi,Rapeseed &Mustard
assam,sonitpur,Autumn,Rice
assam,sonitpur,Rabi,Linseed
assam,sonitpur,Rabi,Gram
assam,sonitpur,Whole Year,Onion
assam,sonitpur,Summer,Rice
assam,sonitpur,Kharif,Small millets
assam,sonitpur,Whole Year,Potato
assam,sonitpur,Kharif,Jute
assam,sonitpur,Kharif,Mesta
assam,sonitpur,Kharif,Arhar/Tur
assam,sonitpur,Kharif,Cotton(lint)
assam,tinsukia,Winter,Rice
assam,tinsukia,Whole Year,Turmeric
assam,tinsukia,Rabi,Wheat
assam,tinsukia,Rabi,Rapeseed &Mustard
assam,tinsukia,Autumn,Rice
assam,tinsukia,Whole Year,Onion
assam,tinsukia,Kharif,Small millets
assam,tinsukia,Whole Year,Potato
assam,tinsukia,Kharif,Jute
assam,tinsukia,Kharif,Mesta
assam,tinsukia,Kharif,Arhar/Tur
assam,tinsukia,Kharif,Castor seed
bihar,araria,Rabi,Maize
bihar,araria,Rabi,Wheat
bihar,araria,Rabi,Gram
bihar,araria,Kharif,Mesta
bihar,araria,Kharif,Jute
bihar,araria,Summer,Maize
bihar,araria,Summer,Rice
bihar,araria,Kharif,Arhar/Tur
bihar,aurangabad,Rabi,Linseed
bihar,aurangabad,Kharif,Arhar/Tur
bihar,aurangabad,Rabi,Wheat
bihar,aurangabad,Rabi,Rapeseed &Mustard
bihar,aurangabad,Rabi,Gram
bihar,banka,Rabi,Linseed
bihar,banka,Kharif,Arhar/Tur
bihar,banka,Summer,Maize
bihar,banka,Rabi,Wheat
bihar,banka,Rabi,Rapeseed &Mustard
bihar,banka,Rabi,Maize
bihar,banka,Rabi,Gram
bihar,begusarai,Kharif,Arhar/Tur
bihar,begusarai,Summer,Maize
bihar,begusarai,Rabi,Wheat
bihar,begusarai,Rabi,Rapeseed &Mustard
bihar,begusarai,Rabi,Maize
bihar,begusarai,Rabi,Gram
bihar,bhagalpur,Rabi,Maize
bihar,bhagalpur,Rabi,Linseed
bihar,bhagalpur,Kharif,Arhar/Tur
bihar,bhagalpur,Summer,Rice
bihar,bhagalpur,Summer,Maize
bihar,bhagalpur,Rabi,Wheat
bihar,bhagalpur,Rabi,Rapeseed &Mustard
bihar,bhagalpur,Rabi,Gram
bihar,bhojpur,Rabi,Gram
bihar,bhojpur,Rabi,Maize
bihar,bhojpur,Kharif,Arhar/Tur
bihar,bhojpur,Kharif,Bajra
bihar,bhojpur,Kharif,Jowar
bihar,bhojpur,Summer,Maize
bihar,bhojpur,Rabi,Wheat
bihar,bhojpur,Rabi,Linseed
bihar,buxar,Kharif,Arhar/Tur
bihar,buxar,Kharif,Bajra
bihar,buxar,Kharif,Jowar
bihar,buxar,Rabi,Wheat
bihar,buxar,Rabi,Rapeseed &Mustard
bihar,buxar,Rabi,Linseed
bihar,buxar,Rabi,Gram
bihar,darbhanga,Kharif,Arhar/Tur
bihar,darbhanga,Summer,Rice
bihar,darbhanga,Summer,Maize
bihar,darbhanga,Rabi,Wheat
bihar,darbhanga,Rabi,Rapeseed &Mustard
bihar,darbhanga,Rabi,Maize
bihar,darbhanga,Rabi,Gram
bihar,gaya,Rabi,Linseed
bihar,gaya,Kharif,Arhar/Tur
bihar,gaya,Summer,Maize
bihar,gaya,Rabi,Wheat
bihar,gaya,Rabi,Rapeseed &Mustard
bihar,gaya,Rabi,Gram
bihar,gopalganj,Kharif,Arhar/Tur
bihar,gopalganj,Summer,Maize
bihar,gopalganj,Rabi,Wheat
bihar,gopalganj,Rabi,Rapeseed &Mustard
bihar,gopalganj,Rabi,Maize
bihar,jamui,Kharif,Arhar/Tur
bihar,jamui,Summer,Maize
bihar,jamui,Rabi,Wheat
bihar,jamui,Rabi,Rapeseed &Mustard
bihar,jamui,Rabi,Maize
bihar,jamui,Rabi,Linseed
bihar,jamui,Rabi,Gram
bihar,jehanabad,Rabi,Linseed
bihar,jehanabad,Kharif,Arhar/Tur
bihar,jehanabad,Summer,Maize
bihar,jehanabad,Rabi,Wheat
bihar,jehanabad,Rabi,Rapeseed &Mustard
bihar,jehanabad,Rabi,Maize
bihar,jehanabad,Rabi,Gram
bihar,kaimur,Kharif,Arhar/Tur
bihar,kaimur,Rabi,Gram
bihar,kaimur,Rabi,Linseed
bihar,kaimur,Rabi,Wheat
bihar,kaimur,Rabi,Rapeseed &Mustard
bihar,katihar,Rabi,Maize
bihar,katihar,Kharif,Arhar/Tur
bihar,katihar,Summer,Rice
bihar,katihar,Summer,Maize
bihar,katihar,Rabi,Wheat
bihar,katihar,Rabi,Rapeseed &Mustard
bihar,katihar,Rabi,Gram
bihar,katihar,Kharif,Jute
bihar,katihar,Rabi,Linseed
bihar,khagaria,Rabi,Maize
bihar,khagaria,Rabi,Linseed
bihar,khagaria,Kharif,Arhar/Tur
bihar,khagaria,Summer,Rice
bihar,khagaria,Summer,Maize
bihar,khagaria,Rabi,Wheat
bihar,khagaria,Rabi,Rapeseed &Mustard
bihar,khagaria,Rabi,Gram
bihar,kishanganj,Rabi,Gram
bihar,kishanganj,Kharif,Arhar/Tur
bihar,kishanganj,Summer,Rice
bihar,kishanganj,Summer,Maize
bihar,kishanganj,Rabi,Wheat
bihar,kishanganj,Rabi,Rapeseed &Mustard
bihar,kishanganj,Kharif,Jute
bihar,kishanganj,Rabi,Maize
bihar,kishanganj,Kharif,Mesta
bihar,kishanganj,Rabi,Linseed
bihar,lakhisarai,Rabi,Gram
bihar,lakhisarai,Kharif,Arhar/Tur
bihar,lakhisarai,Rabi,Wheat
bihar,lakhisarai,Rabi,Rapeseed &Mustard
bihar,madhepura,Rabi,Linseed
bihar,madhepura,Kharif,Jute
bihar,madhepura,Kharif,Arhar/Tur
bihar,madhepura,Kharif,Mesta
bihar,madhepura,Summer,Rice
bihar,madhepura,Summer,Maize
bihar,madhepura,Rabi,Wheat
bihar,madhepura,Rabi,Rapeseed &Mustard
bihar,madhepura,Rabi,Maize
bihar,madhubani,Rabi,Maize
bihar,madhubani,Kharif,Arhar/Tur
bihar,madhubani,Summer,Rice
bihar,madhubani,Summer,Maize
bihar,madhubani,Rabi,Wheat
bihar,madhubani,Rabi,Rapeseed &Mustard
bihar,madhubani,Rabi,Gram
bihar,madhubani,Rabi,Linseed
bihar,munger,Rabi,Linseed
bihar,munger,Kharif,Arhar/Tur
bihar,munger,Summer,Maize
bihar,munger,Rabi,Wheat
bihar,munger,Rabi,Rapeseed &Mustard
bihar,munger,Rabi,Maize
bihar,munger,Rabi,Gram
bihar,muzaffarpur,Rabi,Maize
bihar,muzaffarpur,Summer,Maize
bihar,muzaffarpur,Kharif,Mesta
bihar,muzaffarpur,Rabi,Wheat
bihar,muzaffarpur,Rabi,Rapeseed &Mustard
bihar,muzaffarpur,Kharif,Arhar/Tur
bihar,nalanda,Rabi,Maize
bihar,nalanda,Kharif,Arhar/Tur
bihar,nalanda,Summer,Maize
bihar,nalanda,Rabi,Wheat
bihar,nalanda,Rabi,Rapeseed &Mustard
bihar,nalanda,Rabi,Gram
bihar,nawada,Rabi,Linseed
bihar,nawada,Kharif,Arhar/Tur
bihar,nawada,Summer,Maize
bihar,nawada,Rabi,Wheat
bihar,nawada,Rabi,Rapeseed &Mustard
bihar,paschim champaran,Rabi,Linseed
bihar,paschim champaran,Rabi,Maize
bihar,paschim champaran,Kharif,Arhar/Tur
bihar,paschim champaran,Summer,Rice
bihar,paschim champaran,Summer,Maize
bihar,paschim champaran,Rabi,Wheat
bihar,paschim champaran,Rabi,Rapeseed &Mustard
bihar,patna,Rabi,Maize
bihar,patna,Kharif,Arhar/Tur
bihar,patna,Summer,Maize
bihar,patna,Rabi,Wheat
bihar,patna,Rabi,Rapeseed &Mustard
bihar,patna,Rabi,Linseed
bihar,patna,Rabi,Gram
bihar,purba champaran,Kharif,Arhar/Tur
bihar,purba champaran,Summer,Maize
bihar,purba champaran,Rabi,Wheat
bihar,purba champaran,Rabi,Rapeseed &Mustard
bihar,purba champaran,Rabi,Maize
bihar,purnia,Kharif,Arhar/Tur
bihar,purnia,Summer,Rice
bihar,purnia,Summer,Maize
bihar,purnia,Rabi,Wheat
bihar,purnia,Rabi,Rapeseed &Mustard
bihar,purnia,Rabi,Gram
bihar,purnia,Kharif,Jute
bihar,purnia,Rabi,Maize
bihar,purnia,Kharif,Mesta
bihar,rohtas,Kharif,Arhar/Tur
