State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
jammu and kashmir,badgam,109,102,102,103,103,103,103,103,103,103,103,103,103
jammu and kashmir,baramula,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,doda,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,jammu,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,kargil,102,102,102,102,102,102,102,102,102,102,102,102,102
jammu and kashmir,kathua,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,kupwara,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,ladakh (leh),109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,pulwama,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,punch,102,102,102,102,102,102,102,102,102,102,102,102,102
jammu and kashmir,rajauri,102,102,102,102,102,102,102,102,102,102,102,102,102
jammu and kashmir,srinagar,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,udhampur,109,109,109,109,109,109,109,109,109,109,109,109,109
jharkhand,bokaro,109,103,103,103,104,104,107,107,107,107,107,104,104
jharkhand,chatra,102,102,102,102,102,102,102,102,102,102,102,102,102
jharkhand,deoghar,102,102,102,102,102,102,102,102,102,102,102,102,102
jharkhand,dhanbad,109,104,104,105,105,105,109,109,109,109,109,105,105
jharkhand,dumka,102,102,102,102,102,102,102,102,102,102,102,102,102
jharkhand,east singbhum,109,109,109,108,109,109,109,109,109,109,109,109,108
jharkhand,garwah,102,102,102,102,102,102,102,102,102,102,102,102,102
jharkhand,giridih,109,107,107,106,108,108,109,109,109,109,109,107,106
jharkhand,godda,109,103,103,103,103,102,104,105,105,105,104,105,104
jharkhand,gumla,109,103,102,104,102,102,105,107,107,106,105,103,102
jharkhand,hazaribagh,109,105,107,108,108,108,109,109,109,109,109,106,107
jharkhand,kodarma,109,103,102,103,103,102,103,104,104,105,105,102,102
jharkhand,lohardaga,109,102,103,102,102,102,104,107,106,106,106,102,103
jharkhand,pakur,109,104,104,103,104,104,104,106,105,105,105,105,103
jharkhand,palamau,109,109,109,109,109,109,109,109,109,109,109,108,108
jharkhand,ranchi,109,109,109,109,109,109,109,109,109,109,109,109,109
jharkhand,sahebganj,109,104,104,103,103,103,104,105,104,105,104,102,103
jharkhand,santhal parganas,7,3,2,2,2,3,7,7,7,7,7,2,3
jharkhand,west singbhum,109,109,109,108,109,107,108,106,108,108,109,109,109
